,sampleID,pH,P,EC
0,110639,7.733333333333333,6.400000000000001,0.6666666666666666
1,110645,7.85,7.449999999999999,0.8
2,110660,7.3,7.3999999999999995,0.8000000000000002
3,110661,7.5,7.128571428571428,0.7254285714285713
4,110662,7.15,7.699999999999999,0.8
5,110667,8.2,5.65,0.6
6,110669,7.7,8.1,0.8
7,110737,8.0,5.5,0.6
8,110740,7.6,6.25,0.6499999999999999
9,110746,7.0,6.1,0.6
10,110752,7.4799999999999995,8.959999999999999,0.9199999999999999
11,110755,7.95,6.050000000000001,0.6
12,110760,7.1,7.6,0.8
13,110761,7.45,7.1,0.7
14,110762,7.233333333333333,6.333333333333333,0.6666666666666666
15,110768,8.5,4.6,0.5
16,110772,8.1,11.0,1.1
17,110791,7.6,5.4,0.6
18,110857,7.8,6.2,0.6
19,110868,7.366666666666667,5.3,0.5666666666666667
20,110869,8.1,7.6,0.8
21,110872,8.0,6.4,0.7
22,110873,7.75,7.475,0.76375
23,110887,7.6,8.1,0.8
24,110902,7.7,7.3,0.8
25,110988,8.1,5.7,0.6
26,110989,7.8,8.1,0.8
27,110996,7.9,6.4,0.7
28,120910,8.5,6.1,0.6
29,122722,8.15,13.8,1.4
30,122723,7.9,9.0,0.9
31,122736,7.4,9.0,0.9
32,122934,7.0,18.5,1.9
33,122935,8.4,9.0,0.9
34,122938,7.2,6.6,0.7
35,122940,7.9,10.35,1.05
36,122941,8.1,8.1,0.8
37,123047,7.8,45.1,4.6
38,123060,7.2,7.6,0.8
39,123062,8.2,9.8,1.0
40,123065,7.7,7.3,0.8
41,123091,8.8,5.9,0.6
42,123094,8.8,6.1,0.6
43,123096,8.7,4.7,0.5
44,123098,7.7,7.1,0.7
45,123309,7.0,5.1,0.5
46,1233097,7.9,3.3,0.3
47,123339,8.8,5.9,0.6
48,123340,7.949999999999999,5.5,0.55
49,123354,8.3,5.0,0.5
50,123355,7.85,5.4,0.55
51,123365,8.1,6.65,0.7
52,123382,7.6,4.8,0.5
53,123400,7.7,13.1,1.3
54,123450,8.4,6.2,0.6
55,123451,8.1,6.4,0.7
56,123454,8.7,6.6,0.7
57,123455,8.35,5.550000000000001,0.55
58,123456,8.4,6.75,0.7
59,123457,7.8,6.6,0.7
60,123459,8.0,5.2,0.5
61,123475,7.2,6.6,0.7
62,123572,8.1,7.8,0.8
63,123573,7.9,6.6,0.7
64,123579,8.1,9.0,0.9
65,123580,8.1,7.6,0.8
66,123583,7.5,4.8,0.5
67,123668,7.366666666666667,8.299999999999999,0.8666666666666667
68,123678,8.0,11.0,1.1
69,123680,5.7,9.0,0.9
70,123698,7.8,12.5,1.3
71,123701,7.4,9.0,0.9
72,123707,7.6,15.8,1.6
73,123709,7.3,11.5,1.2
74,123710,8.6,9.8,1.0
75,123711,7.7,7.1,0.7
76,123718,7.6,7.8,0.8
77,123719,7.6,11.5,1.2
78,123722,7.7,5.35,0.55
79,123723,8.8,4.2,0.4
80,123898,7.5,6.6,0.7
81,123911,7.9,7.3,0.8
82,123918,8.1,9.8,1.0
83,123921,8.1,9.8,1.0
84,123922,7.533333333333334,14.4,1.4666666666666668
85,123923,6.8,8.1,0.8
86,123930,7.9,6.9,0.7
87,123939,7.55,7.699999999999999,0.8
88,123940,6.6,7.6,0.8
89,123949,9.0,45.1,4.6
90,123950,8.1,6.1,0.6
91,123956,7.6,15.1,1.5
92,123964,7.6,6.9,0.7
93,123976,7.233333333333333,8.4,0.9
94,123979,6.8999999999999995,6.633333333333333,0.6999999999999998
95,123981,7.566666666666667,9.8,1.0
96,123992,7.3,10.6,1.1
97,123998,7.7250000000000005,8.175,0.84125
98,124000,7.8,6.2,0.6
99,124002,8.3,10.1,1.0
100,124003,7.625,12.8,1.31175
101,124006,7.95,0.0,0.0
102,124007,8.066666666666666,9.200000000000001,0.9333333333333332
103,124008,7.233333333333333,16.066666666666666,1.6333333333333335
104,124072,7.550000000000001,8.15,0.8500000000000001
105,124118,7.85,8.1,0.8
106,124119,7.6,6.9,0.7
107,124120,7.6,7.8999999999999995,0.8
108,124121,6.75,8.85,0.9
109,124146,7.800000000000001,7.5,0.75
110,124147,8.55,7.0,0.75
111,124185,7.300000000000001,15.05,1.55
112,124188,6.2,11.0,1.1
113,124189,7.5,28.4,2.9
114,124190,8.1,13.7,1.4
115,124200,8.1,11.0,1.1
116,124201,7.3,5.1,0.5
117,124202,7.6,20.7,2.1
118,124205,8.1,20.7,2.1
119,124206,7.4,22.0,2.2
120,124208,7.8,9.4,0.95375
121,124216,7.1,6.2,0.6
122,124226,7.5,8.4,0.9
123,124228,7.199999999999999,12.3,1.25
124,124229,6.3,10.6,1.1
125,124232,7.5,7.8,0.8
126,124233,7.65,7.449999999999999,0.8
127,124234,7.6,19.6,2.0
128,124236,7.5,7.425,0.8
129,124238,7.65,24.25,2.475
130,124239,7.9,7.6,0.8
131,124240,7.65,5.575,0.575
132,124241,8.05,31.55,3.2
133,124243,7.5,9.8,1.0
134,124244,8.0,41.4,4.2
135,124245,8.8,10.6,1.1
136,124246,7.3,7.3,0.8
137,124258,7.8,8.55,0.9
138,124259,8.45,9.2,0.95
139,124260,7.65,7.199999999999999,0.75
140,124261,7.85,7.25,0.75
141,124350,8.0,4.8,0.5
142,124932,7.2,7.6,0.8
